[2025-09-15 14:31:11] [INFO    ] discord.client: logging in using static token
[2025-09-15 14:31:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-15 14:31:12] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-15 14:31:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1416818810987483179', 'username': 'Khaleda Zia', 'avatar': None, 'discriminator': '6612', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-15 14:31:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-15 14:31:13] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-15 14:31:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1416818810987483179', 'name': 'spook', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1416818810987483179', 'username': 'Khaleda Zia', 'avatar': None, 'discriminator': '6612', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '44b0ff80325f96f8910a30c2a1605e9931e65c43b11dfc03c70050083161ddfc', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1046133031347429448', 'username': 'avishakh9046', 'avatar': '8ffcbd830f20ae1e9bbe989c6f2119a9', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Avishakh', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-15 14:31:13] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-15 14:31:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-6jpn",{"micros":0.0}]']}}
[2025-09-15 14:31:13] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-15 14:31:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-15 14:31:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Khaleda Zia', 'primary_guild': None, 'mfa_enabled': False, 'id': '1416818810987483179', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6612', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '3bc991ccc629fe42f7d1fa4989c501cc', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1199755651136618517'}, {'unavailable': True, 'id': '1416823909894062236'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'hongkong', 'singapore', 'dubai', 'japan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1416818810987483179', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-6jpn",{"micros":236134,"calls":["id_created",{"micros":417,"calls":[]},"session_lookup_time",{"micros":189,"calls":[]},"session_lookup_finished",{"micros":8,"calls":[]},"discord-sessions-prd-2-108",{"micros":235203,"calls":["start_session",{"micros":214109,"calls":["discord-api-rpc-6c68f9c9d5-wml2p",{"micros":157753,"calls":["get_user",{"micros":18051},"get_guilds",{"micros":7993},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":29410},"apex_experiments",{"micros":7451},"user_activities",{"micros":6},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":31,"calls":[]},"presence_started",{"micros":305,"calls":[]},"guilds_started",{"micros":110,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":20630,"calls":[]},"connect_finished",{"micros":20633,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-09-15 14:31:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 14:31:14] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 3bc991ccc629fe42f7d1fa4989c501cc).
[2025-09-15 14:31:14] [DEBUG   ] discord.client: Dispatching event connect
